"","x","y"
"1",1,96.620814204506
"2",1,98.5239178616046
"3",1,91.8425582441512
"4",1,95.8908065569269
"5",1,99.870230215055
"6",1,81.4730304727933
"7",1,104.006037621918
"8",1,98.2792610714219
"9",1,95.0293752274386
"10",1,96.9489664755234
"11",2,98.4366863900869
"12",2,98.5638417118422
"13",2,97.934531923466
"14",2,98.385377699443
"15",2,100.475496051849
"16",2,99.6806157998136
"17",2,99.998287552278
"18",2,99.293806164457
"19",2,97.596415039536
"20",2,99.4975103297155
"21",3,100.855764782634
"22",3,100.629650028423
"23",3,100.441915853121
"24",3,100.815055954231
"25",3,100.716848787992
"26",3,101.117186617115
"27",3,101.106304423316
"28",3,102.141965106844
"29",3,101.537475162741
"30",3,101.923024674665
"31",4,117.856293639232
"32",4,89.6824804132414
"33",4,88.001984113837
"34",4,99.5225460745464
"35",4,102.270190026732
"36",4,108.682241868390
"37",4,106.658869382636
"38",4,116.522889052926
"39",4,102.657641554837
"40",4,106.202260356871
