"JobPerform","GMA","Consci","Biodata"
4.70878373720658,3.53283745904681,3.4582201887675,3.30314588146692
5.89460412352065,4.22402215078099,3.10822173683271,3.47973651350727
5.32541380722842,2.2673721645578,1.07407200891697,5.01732507736053
6.07457586369508,1.8226753196176,5.48448298496104,2.471330190464
5.11777184601337,6.3508840705531,4.05093762506395,1.66159884960094
4.04769576579058,1.42461235181837,0.663158489515574,3.71659562996671
3.87127540902132,5.23098661780701,3.35220680303577,3.9705939772904
4.02950322550109,4.18681280061745,3.34187341750684,3.38740516570205
1.55912234243793,2.78076251649497,4.20841872828782,3.04032397012864
2.08289831041508,2.13484307253231,4.16337008826926,3.88357459018078
5.46562548978414,2.87763510475304,1.9808682919867,3.75034131554437
1.81940845725217,4.25803891613036,4.62373029727532,1.18847882915254
3.08293120581065,0.0124686638840581,2.63926640785524,4.13016981906073
4.42065004224611,4.64413673769685,3.88597611740269,0.97500016240387
2.36138896596311,5.6221969039608,5.23230492669711,3.96203857914305
4.2508702397702,2.82946560730947,2.99192712569164,5.76275531470551
6.14960002766166,6.06460333538406,4.25127855602622,3.17321145459172
4.32351913708312,4.16317329096651,4.24876820470511,2.99170097575733
0.762834293669159,2.62592802347619,2.63348336262029,1.85417393215687
2.91260848209429,2.29393695328016,5.48611282429991,3.72569742585067
3.87136394335691,5.63447210505509,3.24751004970879,1.93614915979685
3.81146747381375,2.76661609165907,3.71932617704787,2.91628984031478
3.91327023744607,2.7255347745198,0.713296042092485,5.02631317960117
4.18500660533759,2.45175722716776,3.57539688945702,3.62264097047909
1.61471136312335,2.10917498875639,4.33553099638531,3.17816454808542
2.9313599173175,3.52463476592747,4.16757424486314,3.18468612775965
3.7686694018739,3.98125235041197,2.73804894680266,3.99495044414295
3.55375785064373,4.27966575193615,3.04969051367906,5.83532835227322
4.2071654911528,2.85994998270418,4.23165461358845,4.39851496928481
2.36776843942309,2.14817657147661,5.66606830144314,4.64554208442857
2.9087035952421,3.14592842263021,6.19259062876394,4.75742642993141
4.02946279466062,2.39268107605313,2.4640218683068,2.07418314636644
2.85409085061486,2.10916915432452,2.92427566555837,1.58869489932103
5.96434129057036,5.54314458570484,1.85417771006927,2.56021164394023
5.14903951009804,2.28679646758045,3.29402161073492,4.14254555678492
6.63716520342931,5.64314302826516,2.95367837094166,3.54739480922202
1.41989603454374,4.28998918933491,2.98544340861584,4.32527144004587
5.27224302044744,6.69276683552477,3.9676640917571,3.84161927489068
4.35227807710308,3.13649414603125,1.68384128183612,5.07220399948182
4.46365208754503,1.08216307125411,5.54130708591008,3.9685708044998
3.1534977201495,3.9486059167936,3.5202027438064,6.69788077802448
5.85566808952977,3.69677069883971,3.84243641685747,3.73068561549251
3.60844183136754,5.55736881322185,3.42897311048312,3.96600419052293
1.50654077777727,3.60140144792839,4.69263329194067,0.630986651857853
